profile_id,unicode
OHE-00772,U+6C11
OHE-00773,U+5CB7
OHE-00774,U+65FC
OHE-00775,U+65FB
OHE-00776,U+739F
OHE-00777,U+73C9
OHE-00778,U+654F
OHE-00779,U+9594
OHE-00780,U+615C
OHE-00781,U+5BC6
OHE-00782,U+871C
OHE-00783,U+6734
OHE-00784,U+6CCA
OHE-00785,U+62CD
OHE-00786,U+73C0
OHE-00787,U+8236
OHE-00788,U+535A
OHE-00789,U+64B2
OHE-00790,U+749E
OHE-00791,U+8584
OHE-00792,U+53CD
OHE-00793,U+534A
OHE-00794,U+4F34
OHE-00795,U+7554
OHE-00796,U+822C
OHE-00797,U+73ED
OHE-00798,U+8FD4
OHE-00799,U+9812
OHE-00800,U+98EF
OHE-00801,U+78D0
OHE-00802,U+76E4
OHE-00803,U+6F58
OHE-00804,U+62D4
OHE-00805,U+767C
OHE-00806,U+6E24
OHE-00807,U+9262
OHE-00808,U+9AEE
OHE-00809,U+6F51
OHE-00810,U+65B9
OHE-00811,U+5F77
OHE-00812,U+574A
OHE-00813,U+653E
OHE-00814,U+6609
OHE-00815,U+82B3
OHE-00816,U+5023
OHE-00817,U+90A6
OHE-00818,U+8A2A
OHE-00819,U+508D
OHE-00820,U+9632
OHE-00821,U+9F90
OHE-00822,U+676F
OHE-00823,U+62DC
OHE-00824,U+500D
OHE-00825,U+914D
OHE-00826,U+80CC
OHE-00827,U+57F9
OHE-00828,U+6392
OHE-00829,U+6E43
OHE-00830,U+88F5
OHE-00831,U+8F29
OHE-00832,U+966A
OHE-00833,U+767D
OHE-00834,U+767E
OHE-00835,U+4F2F
OHE-00836,U+4F70
OHE-00837,U+5E1B
OHE-00838,U+6822
OHE-00839,U+756A
OHE-00840,U+7E41
OHE-00841,U+85E9
OHE-00842,U+98DC
OHE-00843,U+4F10
OHE-00844,U+95A5
OHE-00845,U+51E1
OHE-00846,U+6C3E
OHE-00847,U+5E06
OHE-00848,U+6C4E
OHE-00849,U+8303
OHE-00850,U+7BC4
OHE-00851,U+6CD5
OHE-00852,U+78A7
OHE-00853,U+58C1
OHE-00854,U+74A7
OHE-00855,U+95E2
OHE-00856,U+535E
OHE-00857,U+5F01
OHE-00858,U+8FA8
OHE-00859,U+8FAF
OHE-00860,U+908A
